AFN;Afghanistan;Afghani
ALL;Albanien;Lek
DZD;Algeriet;Algeriske dinarer
AOA;Angola;Kwanza
ARS;Argentina;Argentinske peso
AMD;Armenien;Armenske dram
AWG;Aruba;Aruba-gylden
AZN;Aserbajdsjan;Aserbajdsjanske manat
AUD;Australien;Australske dollar
BSD;Bahamas;Bahamanske dollar
BHD;Bahrain;Bahrainske dinarer
BDT;Bangladesh;Taka
BBD;Barbados;Barbadisk dollar
EUR;Belgien;Euro
BZD;Belize;Beliziske dollar
BMD;Bermuda;Bermudianske dollar
BTN;Bhutan;Ngultrum
BOB;Bolivia;Boliviano
BAM;Bosnien-Hercegovina;Konvertible mark
BWP;Botswana;Pula
BRL;Brasilien;Brasilianske real
BND;Brunei;Bruneiske dollar
BGN;Bulgarien;Bulgariske lev
BIF;Burundi;Burundiske francs
KHR;Cambodia;Riel
CAD;Canada;Canadiske dollar
KYD;Cayman-Øerne;Cayman-Øerne-dollar
CLP;Chile;Chilenske peso
COP;Colombia;Colombiansk peso
KMF;Comorerne;Comoriske francs
CRC;Costa Rica;Costaricanske colon
CUP;Cuba;Cubansk peso
EUR;Cypern;Euro
DKK;Danmark;Danske kroner
CDF;Demokratiske Republik Congo;Congolesiske francs
DJF;Djibouti;Djiboutiske francs
DOP;Dominikanske Republik;Dominikanske peso
EGP;Egypten;Egyptiske pund
ERN;Eritrea;Nakfa
EUR;Estland;Euro
ETB;Etiopien;Etiopiske birr
EUR;Europa;Euro
FKP;Falklandsøerne;Falklandsøerne-pund
FJD;Fiji;Fijianske dollar
PHP;Filippinerne;Filippinske peso
EUR;Finland;Euro
AED;Forenede Arabiske Emirater;UAE Dirham
EUR;Frankrig;Euro
GMD;Gambia;Dalasi
GEL;Georgien;Lari
GHS;Ghana;Cedi
GIP;Gibraltar;Gibraltar-pund
EUR;Grækenland;Euro
GTQ;Guatemala;Quetzal
GNF;Guinea;Guineanske francs
GYD;Guyana;Guyanske dollar
HTG;Haiti;Gourde
EUR;Holland;Euro
HNL;Honduras;Lempira
HKD;Hong Kong;Hong Kong-dollar
BYN;Hviderusland;Hviderussiske rubler
INR;Indien;Indiske rupee
IDR;Indonesien;Rupiah
IQD;Irak;Irakiske dinarer
IRR;Iran;Iranske rial
EUR;Irland;Euro
ISK;Island;Islandske krona
ILS;Israel;Ny Shekel
EUR;Italien;Euro
JMD;Jamaica;Jamaicanske dollar
JPY;Japan;Yen
JOD;Jordan;Jordanske dinar
CVE;Kap Verde;Kapverdiske escudo
KZT;Kasakhstan;Tenge
KES;Kenya;Kenyansk shilling
CNY;Kina;Yuan renminbi
KGS;Kirgisistan;Som
HRK;Kroatien;Kroatiske kuna
KWD;Kuwait;Kuwaitiske dinarer
LAK;Laos;Kip
LSL;Lesotho;Loti
EUR;Letland;Euro
LBP;Libanon;Libanesiske pund
LRD;Liberia;Liberiansk dollar
LYD;Libyen;Libyske dinarer
EUR;Litauen;Euro
EUR;Luxenburg;Euro
MOP;Macau;Pataca
MGA;Madagaskar;Madagaskiske ariary
MKD;Makedonien;Denar
MWK;Malawi;Kwacha
MYR;Malaysia;Malaysiske ringgit
MVR;Maldiverne;Rufiyaa
EUR;Malta;Euro
MAD;Marokko;Marokkanske dirham
MRO;Mauretanien;Ouguiya
MUR;Mauritius;Mauritiske rupee
MXN;Mexico;Mexicanske peso
MDL;Moldova;Moldoviske leu
MNT;Mongoliet;Tugrik
MZN;Mozambique;Merical
MMK;Myanmar;Kyat
NAD;Namibia;Namibiske dollar
ANG;Nederlandske Antiller;Nederlandske Antiller-gylden
NPR;Nepal;Nepalesiske rupee
NZD;New Zealand;New Zealand-dollar
NIO;Nicaragua;Cordoba Oro
NGN;Nigeria;Naira
KPW;Nordkorea;Nordkoreanske won
NOK;Norge;Norske kroner
OMR;Oman;Omansk rial
PKR;Pakistan;Pakistanske rupee
PAB;Panama;Balboa (møntenhed)
PGK;Papua New Guinea;Kina
PYG;Paraguay;Guarani
PEN;Peru;Ny sol
PLN;Polen;Zloty
EUR;Portugal;Euro
QAR;Qatar;Qatar rial
RON;Rumænien;Leu
RUB;Rusland;Russiske rubler
RWF;Rwanda;Rwandiske francs
SBD;Salomonøerne;Salomonøerne-dollar
WST;Samoa;Tala
SHP;Sankt Helena;Sankt Helena-pund
STD;São Tome og Príncipe;Dobra
SAR;Saudi-Arabien;Saudiarabiske riyal
CHF;Schweiz;Schweizerfranc
RSD;Serbien;Serbiske dinarer
SCR;Seychellerne;Seychellisk rupee
SLL;Sierra Leone;Leone
SGD;Singapore;Singaporeanske dollar
EUR;Slovakiet;Euro
EUR;Slovenien;Euro
SOS;Somalia;Somalisk shilling
EUR;Spanien;Euro
LKR;Sri Lanka;Srilankanske rupee
SDG;Sudan;Sudaniske dinarer
SRD;Surinam;Surinam dollar
SEK;Sverige;Svenske kronar
SZL;Swaziland;Lilangeni
ZAR;Sydafrika;Rand
KRW;Sydkorea;Won
SSP;Sydsudan;Sydsudanske pound
SYP;Syrien;Syriske pund
TJS;Tadsjikistan;Somoni
TWD;Taiwan;Nytaiwanske dollar
TZS;Tanzania;Tanzanisk shilling
THB;Thailand;Baht
CZK;Tjekkiet;Tjekkiske koruna
TOP;Tonga;Paanga
TTD;Trinidad og Tobago;Trinidad og Tobago-dollar
TND;Tunesien;Tunesiske dinarer
AZN;Turkmenistan;Manat
TRY;Tyrkiet;Nytyrkiske lira
EUR;Tyskland;Euro
UGX;Uganda;Ugandiske shilling
GBP;UK;Pund Sterling
UAH;Ukraine;Hryvnia
HUF;Ungarn;Forint
UYU;Uruguay;Uruguayske peso
USD;USA;Amerikanske dollar
UZS;Usbekistan;Usbekiske sum
VUV;Vanuatu;Vatu
VEF;Venezuela;Bolivar
VND;Vietnam;Dong
YER;Yemen;Yeminitiske rial
ZMW;Zambia;Kwacha
ZWL;Zimbabwe;Zimbabwiske dollar
EUR;Østrig;Euro
